"This colour naming dataset was collected @colornaming.net and published in Mylonas, D., & MacDonald, L. (2016). Augmenting basic colour terms in English. Color Research & Application, 41(1), 32�42. https://doi.org/10.1002/col.21944",,,,
It is licenced under CC BY-NC (Attribution-NonCommercial): https://creativecommons.org/licenses/by-nc/4.0/deed.en,,,,
Author: Dimitris Mylonas: dimitris.mylonas@nulondon.ac.uk,,,,
,,,,
sample_id,colour_name,R,G,B
288,plum,128,79,132
367,cerise,138,23,66
388,orange,183,102,25
388,orange,183,102,25
403,peach,251,143,159
405,apricot,255,143,137
453,purple,83,9,103
517,lilac,162,93,193
538,Lilac,129,63,183
546,cerise,255,81,111
563,magenta,242,0,86
29,dark cool grey,69,71,88
41,Taupe,137,118,122
50,pale cool pink,182,172,182
113,robins egg blue,98,159,158
148,eggplant,41,16,58
151,burgundy,53,9,48
156,brick-red,117,52,47
185,YELLOWOCHRE,150,118,48
191,emerald green,69,136,95
295,carnation pink,211,124,120
313,green turquoise,15,168,139
390,Grass green,74,138,11
418,bright lime,129,193,70
425,saturated sky blue,54,187,244
450,Blueviolet,36,36,122
464,Bright purple,120,76,164
474,salmon,238,109,88
515,deep lavender,125,106,212
40,grey,130,119,131
105,dirt,178,142,109
150,dark purple,48,12,53
280,green,0,113,63
325,lilac,148,142,200
342,green,166,217,117
449,turquoise,0,255,235
470,Crimson,173,47,99
497,green,110,227,99
525,Lilac,214,148,253
535,red,197,0,22
561,purple,112,7,165
566,blue,77,109,247
597,Pink,255,30,232
4,grey,72,72,72
117,light grey,142,147,175
139,Pale pink,218,194,217
151,deep purple,53,9,48
227,sky blue,98,188,201
237,pink,217,159,178
282,carbon blue,29,101,151
311,Watery green,50,168,123
315,fluorescent blue,0,168,158
317,turquoise,0,166,177
319,dark sky blue,0,163,193
420,watery green,68,198,122
517,Light-purple,162,93,193
540,fluorescent pink,157,45,164
540,Florescent purple,157,45,164
579,florescent purple,139,44,204
582,watery pink,207,100,254
5,dark grey,97,97,97
34,GREY,128,123,98
34,khaki,128,123,98
154,Burgundy,117,51,60
169,marine blue,0,79,110
194,smoky teal,42,137,122
208,dark rose,166,105,121
258,navy,0,49,103
291,dark-rose,148,70,106
301,tan,191,139,54
311,robins egg blue,50,168,123
319,light blue,0,163,193
418,sea foam,129,193,70
486,lilac,181,126,212
77,dark blue,44,47,76
111,leaves-green,105,160,138
153,dark bordeaux,58,5,41
153,dark lilac,58,5,41
157,french red,114,56,32
215,sand yellow,205,171,99
217,mustard yellow,189,177,93
315,turgid,0,168,158
396,bright violet,139,108,181
415,Dark yellow,186,180,0
453,lilac,83,9,103
497,display green,110,227,99
501,dark ultramarine blue,31,0,101
572,PINK,217,44,165
586,windows blue,55,32,206
72,dark green,3,56,51
84,brown,130,86,69
202,blue,111,120,164
212,Pink,225,160,128
219,green,164,184,104
278,green,57,109,20
312,green,36,168,131
372,dark blue,0,73,141
376,violet,103,48,123
405,pink,255,143,137
423,green,0,199,162
474,orange,238,109,88
40,bluegrey,130,119,131
46,aqua,153,181,169
96,denim blue,74,99,124
106,Butterscotch,169,146,100
109,lime,131,157,111
132,light bluegreen,152,214,198
136,light blue,179,205,228
180,adobe red,171,104,101
200,royal blue,85,126,163
262,royal purple,72,31,86
307,lime green,132,159,50
377,red violet,111,43,117
393,simpale blue,67,124,192
407,Salmon,253,146,108
483,sky blue,121,143,233
560,reddish-purple,91,32,175
23,brown,87,68,55
35,earthy green,114,126,106
58,appale white,213,232,239
67,dark brown,57,49,2
90,green,64,106,80
122,skin-pink,235,191,191
202,Grey blue,111,120,164
212,peach,225,160,128
239,yellow,255,226,146
258,dark blue,0,49,103
369,red,140,24,42
385,rusty orange,197,89,74
385,salmon pink,197,89,74
485,light purple,168,131,220
531,blue,41,22,141
540,Bright pink,157,45,164
597,luminous pink,255,30,232
17,black,10,31,33
58,ice blue,213,232,239
65,brown,71,42,17
87,spinach diarrhea,106,97,47
115,dark ice blue,114,155,172
126,dough,223,199,149
188,light green with grey,120,128,48
273,bake stone,151,76,38
373,dark bluewith grey,54,65,139
398,yoghurt blackberry,162,100,165
431,lilac,201,158,230
484,neon pastel lilac,148,137,228
518,neon-bubblegum,177,86,182
547,neon strawberry,255,84,91
48,grey,159,178,185
66,brown,65,46,7
89,dark-green,79,104,64
95,bluegreen,59,102,121
122,pebble,235,191,191
254,burgundy,98,13,37
299,orange,204,132,75
358,off white,222,188,249
374,plum,78,58,135
427,blue,120,178,249
487,violet,197,121,200
497,PALE GREEN,110,227,99
528,light pink,255,131,206
542,purple,178,21,136
581,purple,171,0,180
581,purple,171,0,180
597,pink,255,30,232
598,blue,61,0,225
67,green,57,49,2
71,dark-green,13,56,44
103,dusky,183,138,130
188,khaki,120,128,48
191,bluey green,69,136,95
241,puce,244,231,139
283,blue,55,98,152
321,light blue,71,157,201
386,terracotta,196,92,57
404,skin-pink,253,143,148
410,pale orange,235,159,65
447,sky-blue,53,255,212
466,purple,142,66,148
490,pink,226,110,158
547,pinkish,255,84,91
547,salmon,255,84,91
553,pinky purple,213,107,217
6,grey,122,122,122
8,Light grey,175,175,175
17,dark green,10,31,33
69,dark green,34,54,26
91,green,56,106,89
96,Blue,74,99,124
104,brown,182,139,119
159,brown,105,62,17
159,brown,105,62,17
187,khaki,136,123,41
239,cream,255,226,146
261,dark blue,66,34,91
293,pink,208,125,137
297,terracotta,211,126,98
374,indigo,78,58,135
458,REDDISH PINK,178,47,57
530,green,112,255,99
536,blue,64,84,202
555,PINK,238,93,185
2,dark grey,28,28,28
40,grey,130,119,131
58,light grey,213,232,239
102,Blush,181,138,139
110,jade,114,159,127
239,buff,255,226,146
267,claret,93,18,59
335,yellowbeige,248,193,104
408,peach,249,150,94
427,baby blue,120,178,249
442,Lime,181,249,111
445,mint,90,255,189
578,lavender,112,60,216
57,mint green,203,236,233
71,teal,13,56,44
150,Dark purple,48,12,53
189,khaki,110,131,56
206,medium purple,158,107,136
210,baby pink,225,158,153
219,light green,164,184,104
225,turquoise,97,191,180
257,dark red,96,23,0
269,blush,156,69,80
283,blue,55,98,152
290,mid purple,142,73,117
292,darkish purple,152,69,97
319,sky-blue,0,163,193
386,orange,196,92,57
545,candy floss pink,255,81,128
8,grey,175,175,175
50,grey,182,172,182
103,petal,183,138,130
157,brown,114,56,32
168,TEAL,0,84,63
203,lilac,131,115,159
217,Yellow,189,177,93
221,mint green,122,190,143
235,light lilac,200,163,200
236,rose pink,212,160,187
295,peachy pink,211,124,120
367,plum,138,23,66
397,warm lilac,150,104,174
423,turquoise,0,199,162
533,CERISE,197,0,85
533,pink,197,0,85
593,milky blue,62,64,250
66,brown,65,46,7
89,dull green,79,104,64
109,Dull green,131,157,111
123,peach,238,191,181
123,peach,238,191,181
149,purple,46,14,55
252,plum,95,16,53
270,dull reddish,157,69,70
286,violetpurple,111,85,143
333,skin tone,255,185,122
356,light violet,199,194,255
449,turquoise,0,255,235
480,grass green,47,171,52
500,light pink,255,172,255
503,bright purple,83,48,156
510,Cherry red,220,65,74
584,bright pink,244,76,218
5,grey,97,97,97
43,beige,191,172,154
84,light brown,130,86,69
95,blue,59,102,121
155,brown red,117,51,53
180,light reddish,171,104,101
220,light green,149,187,116
343,fluorescent green,146,220,136
388,orange,183,102,25
458,red,178,47,57
468,pink,161,55,126
468,pink,161,55,126
472,light pinkish red,237,106,119
473,light red,238,107,105
574,fluorescent pink,234,17,124
14,black,33,28,8
22,wood,91,66,63
66,brown,65,46,7
66,dogshit,65,46,7
80,theater purple,70,39,60
110,jade bathroom,114,159,127
122,inside of a shell,235,191,191
209,soft pink peach fuzz,223,158,159
242,lemon chiffon,229,236,141
256,royal crimson flower,98,18,18
280,kelly green,0,113,63
287,lavender,119,82,138
375,violet,93,52,129
405,orange pink peach fuzz,255,143,137
492,TULIP YELLOW,255,189,41
497,hideous bright green,110,227,99
511,chili pepper,219,68,53
16,dark green,16,31,26
16,green,16,31,26
23,brown,87,68,55
26,green,57,76,69
35,green,114,126,106
64,brown,77,38,28
77,dark blue,44,47,76
120,Light-pink,172,139,156
130,green,165,213,177
242,Yellow,229,236,141
351,turquoise,67,222,227
424,TURQUOISE,0,190,240
436,pink,247,144,171
565,red orange,239,31,29
583,fuchsia,230,86,236
591,bright pink,207,33,215
109,forest green,131,157,111
186,khaki,143,121,43
193,dark green,53,137,110
212,salmon pink,225,160,128
239,beige,255,226,146
298,salmon pink,209,129,87
409,Orange,242,154,79
412,yellow,217,168,35
426,light blue,94,182,248
427,blue,120,178,249
442,green,181,249,111
445,Celadon,90,255,189
487,violet,197,121,200
13,black,42,24,12
28,dark-bluish-grey,55,75,85
36,greenish grey,104,128,118
196,GREEN BLUE,28,136,136
227,sky blue,98,188,201
255,dark red,98,16,28
270,greyish red,157,69,70
292,Greyish pink,152,69,97
335,skin tone,248,193,104
340,greenish yellow,200,210,92
372,blue,0,73,141
480,green,47,171,52
491,pink,230,108,145
563,pinkish red,242,0,86
564,light red,243,7,60
568,purple,157,88,222
595,magenta,149,3,220
82,brownish maroon,130,85,88
112,dull green,100,160,147
202,dark bluish grey,111,120,164
237,skin,217,159,178
291,maroon,148,70,106
325,bluish grey,148,142,200
399,dusky pink,171,96,156
425,turquoise,54,187,244
430,grey,189,161,237
557,pink,255,83,147
577,bright blue,60,75,229
582,pale pink,207,100,254
582,pink,207,100,254
36,olive green,104,128,118
88,green,95,101,51
96,dark blue,74,99,124
96,grey,74,99,124
169,DARK BLUE,0,79,110
202,purple,111,120,164
284,purple,82,93,151
319,light blue,0,163,193
347,green,93,223,189
355,blue,117,213,255
360,pink,246,182,228
411,orange,226,164,51
493,Yellow,250,194,14
519,pink,189,80,170
575,pink,252,124,255
577,blue,60,75,229
7,Grey,148,149,148
82,chocolate brown,130,85,88
82,taupe,130,85,88
121,pink,178,138,147
177,damson,111,52,81
185,brown,150,118,48
211,peach,226,158,146
301,orange,191,139,54
319,blue,0,163,193
378,purple,118,39,110
384,salmon pink,197,88,87
410,orange,235,159,65
533,shocking pink,197,0,85
537,blue,106,73,193
591,Mauve,207,33,215
19,dark-blue,26,27,43
19,navy blue,26,27,43
137,light blue,193,201,228
172,blue,62,68,115
177,Purple,111,52,81
197,bluegreen,33,134,150
199,petrol,59,131,159
230,Blue,138,179,215
242,lemon sherbert,229,236,141
251,pink,255,216,255
278,bottle green,57,109,20
379,purple,125,33,99
415,gold,186,180,0
438,mustard,250,232,76
496,lime,146,223,64
554,cerise,226,100,203
8,GREY,175,175,175
74,green,0,55,66
82,maroon,130,85,88
114,green,103,157,166
121,rose,178,138,147
222,green,113,191,153
233,violet,182,168,211
239,yellow,255,226,146
239,Yellow,255,226,146
262,violet,72,31,86
321,blue,71,157,201
508,orange,217,64,107
526,violet,234,140,237
552,violet,194,115,233
570,Violet,192,68,198
579,violet,139,44,204
21,very dark purple,43,22,33
30,washed out dark purple,82,67,83
60,White,235,226,234
63,dark plum,78,37,38
65,dark brown,71,42,17
78,dull blue,57,43,72
124,skin,238,192,169
132,PALE TURQUOISE,152,214,198
236,pale pink,212,160,187
384,dull-pink,197,88,87
454,Rich purple,90,0,97
498,turquoise,55,230,134
513,blue,0,125,220
534,Dark pink,199,0,45
556,pink,248,87,163
562,darker pink,239,2,105
573,pink,229,28,142
60,white,235,226,234
93,aqua,46,106,107
125,peach,232,195,159
148,purple,41,16,58
163,olive green,68,77,0
171,blue,42,73,115
188,maroon,120,128,48
257,brown,96,23,0
310,green,69,167,109
318,blue,0,165,185
336,yellow,239,197,97
338,golden yellow,219,204,86
425,aqua,54,187,244
425,light blue,54,187,244
457,dark-pink,178,45,74
471,PINK,234,107,132
518,purple,177,86,182
36,green,104,128,118
127,yellow,212,203,145
143,red,63,1,27
145,red,64,4,3
223,green,108,191,160
291,red,148,70,106
348,green,86,223,197
355,blue,117,213,255
399,pink,171,96,156
406,orange,255,144,124
429,blue,172,166,245
434,pink,236,147,196
463,purple,101,82,172
464,purple,120,76,164
506,violet,124,16,133
557,pink,255,83,147
575,pink,252,124,255
82,Maroon,130,85,88
100,light-plum,121,86,107
133,turquoise,151,213,209
161,light brown,89,70,0
180,flesh,171,104,101
181,flesh,171,105,95
249,light turquoise,139,248,231
338,yellow,219,204,86
357,very-light-violet,212,191,255
382,PIGGY PINK,194,88,110
423,turquoise,0,199,162
452,violet,75,18,108
591,pink,207,33,215
600,iris blue,127,0,255
22,brown,91,66,63
139,very light magenta,218,194,217
165,dark green,45,81,26
184,beige brown,162,112,62
238,matt pink,220,158,172
310,green,69,167,109
353,light blue,81,218,249
367,purple,138,23,66
443,light green,152,253,137
448,turquoise,23,255,222
458,red,178,47,57
471,pig pink,234,107,132
509,pink,219,64,92
532,blueviolet,68,3,133
532,Violet,68,3,133
5,mid grey,97,97,97
55,verypale green,219,234,203
75,dark green,5,53,72
123,light-pink,238,191,181
127,light beige,212,203,145
147,midnight blue,22,23,65
242,Light yellow,229,236,141
290,dull pink,142,73,117
313,turquoise,15,168,139
315,Turquoise,0,168,158
325,light blue,148,142,200
357,OFF WHITE,212,191,255
358,pale pink,222,188,249
359,light pink,238,184,237
435,pink,243,145,181
469,pink,168,50,111
567,mid blue,128,98,235
597,bright pink,255,30,232
17,dark green,10,31,33
50,grey,182,172,182
110,green turquoise,114,159,127
120,light purple,172,139,156
207,pinky purple,163,105,127
213,PEACH,221,163,119
245,light blue,167,247,188
245,light turquoise,167,247,188
317,turquoise,0,166,177
359,light pink,238,184,237
416,yellow,171,184,14
459,sunset orange,177,50,43
483,sky blue,121,143,233
512,orange,214,76,18
570,pink,192,68,198
574,fluorescent pink,234,17,124
596,bright pink,246,53,254
10,broken-white,229,229,229
81,BLUEDARK  GREEN,74,37,54
104,rust,182,139,119
115,bluecyan,114,155,172
196,cyan green,28,136,136
223,green,108,191,160
235,pink,200,163,200
272,tust dark,155,72,50
364,dark blue,40,7,78
393,bluedarkish,67,124,192
524,bright green,52,202,56
540,magentaintense,157,45,164
540,purple-dark-magenta,157,45,164
572,bright magentaintense,217,44,165
33,EARTH BROWN,138,119,104
68,forest green,47,52,12
84,SAND BROWN,130,86,69
121,dark pink,178,138,147
150,dark purple,48,12,53
162,olive green,83,72,0
204,light violet,139,112,154
285,violet,99,88,148
361,pink,254,180,218
430,light-violet,189,161,237
536,blue,64,84,202
590,fuchsia,186,58,231
20,carbon-black,37,23,40
61,very-light-pink,241,225,228
76,dark teal,25,51,75
91,OCHRE GREEN,56,106,89
127,cream,212,203,145
131,mint green,157,214,189
146,navy blue,0,28,66
233,LIGHT LILAC,182,168,211
269,brownish red,156,69,80
269,red,156,69,80
276,khaki,133,87,0
426,azure,94,182,248
454,mauve,90,0,97
472,coral red,237,106,119
35,moss,114,126,106
36,emerald-green,104,128,118
37,dusty teal,101,128,127
50,pinkish grey,182,172,182
50,warm grey,182,172,182
56,pale mint,204,237,221
94,teal,48,105,116
184,Beige,162,112,62
249,bright aqua,139,248,231
285,VIOLET,99,88,148
317,turquoise,0,166,177
347,aqua,93,223,189
429,lavender,172,166,245
511,terracotta,219,68,53
534,crimson,199,0,45
535,deep red,197,0,22
6,blue,122,122,122
21,black,43,22,33
35,green,114,126,106
55,cream,219,234,203
113,turquoise,98,159,158
197,blue,33,134,150
197,turquoise,33,134,150
220,green,149,187,116
290,PURPLE,142,73,117
321,blue,71,157,201
336,yellow,239,197,97
396,lilac,139,108,181
397,purple,150,104,174
476,orange,229,118,46
571,PINK,205,57,183
582,pink,207,100,254
9,very very light grey,202,202,201
31,mauve,89,66,72
50,grey,182,172,182
113,teal,98,159,158
114,grey blue,103,157,166
161,brown,89,70,0
220,lime green uncoated,149,187,116
254,maroon,98,13,37
316,baby blue,0,167,167
316,green blue,0,167,167
332,lighter aubergine,205,125,145
407,salmon pink,253,146,108
461,royal blue,0,98,178
490,soft pink,226,110,158
536,royal blue,64,84,202
543,FUCHSIA,187,0,118
555,soft pink,238,93,185
41,mauve,137,118,122
44,tan,181,176,147
59,light grey,226,229,239
86,brown,116,94,51
105,light-brown,178,142,109
107,mustard,159,150,96
114,blue,103,157,166
146,navy blue,0,28,66
188,green,120,128,48
202,periwinkle,111,120,164
220,lime green,149,187,116
301,orange,191,139,54
317,turquoise,0,166,177
474,coral,238,109,88
474,orange,238,109,88
51,grey,188,171,174
59,white blue,226,229,239
102,grey brown,181,138,139
102,Pink grey,181,138,139
105,mauve,178,142,109
109,green mauve,131,157,111
116,light blue,127,151,174
119,turquoise,165,141,165
122,light pink,235,191,191
176,PURPLE GREY,107,54,88
295,light-mauve,211,124,120
347,teal,93,223,189
360,bluepink,246,182,228
370,brown,139,29,30
416,lime brown,171,184,14
450,blue,36,36,122
501,dark blue,31,0,101
546,hot pink,255,81,111
52,angelic,244,225,221
80,eggplant,70,39,60
161,safari,89,70,0
199,river-blue,59,131,159
234,Dried lavender,190,166,207
362,pink nail polish,255,178,206
432,powder pink,218,153,218
457,carnation-red-,178,45,74
467,orchid,152,60,138
490,mexican pink,226,110,158
504,deep grape,103,38,147
529,chartreuse,161,254,46
554,bright pink,226,100,203
565,daredevil,239,31,29
588,ultraviolet,134,86,255
71,Dark green,13,56,44
76,navy-blue,25,51,75
106,taupe,169,146,100
122,cream,235,191,191
233,light lilac,182,168,211
245,lime green,167,247,188
246,lime green,156,248,201
329,lilac,189,130,175
338,beige,219,204,86
353,aquamarine,81,218,249
395,lilac,124,112,186
398,purple,162,100,165
405,salmon pink,255,143,137
423,turquoise,0,199,162
513,Blue,0,125,220
569,purple,174,79,212
570,purple,192,68,198
571,fuchsia,205,57,183
19,navy,26,27,43
25,spruce green,64,75,60
32,blush,140,117,114
39,dresden blue,119,122,136
58,light-jade,213,232,239
81,DUSTY MAROON,74,37,54
90,jade green,64,106,80
121,rose,178,138,147
175,dark lavender,97,57,100
298,peach,209,129,87
433,dusty-pink,227,149,208
476,orange,229,118,46
554,rose pink,226,100,203
555,darker-rose-pink,238,93,185
555,pink,238,93,185
557,fuchsia,255,83,147
7,grey,148,149,148
25,army green,64,75,60
32,grey,140,117,114
70,dark green,21,56,38
160,brown,95,67,0
188,Army green,120,128,48
208,lilac,166,105,121
236,pink,212,160,187
336,yellow,239,197,97
384,orange pink,197,88,87
389,orange,176,107,1
412,Dark yellow,217,168,35
440,yellow,227,239,79
461,blue,0,98,178
461,petrol,0,98,178
483,blue,121,143,233
498,light green,55,230,134
556,fuchsia,248,87,163
33,pale brown,138,119,104
79,dark purple,64,40,67
112,light turquoise,100,160,147
143,dark red,63,1,27
169,turquoise,0,79,110
171,melancholic blue,42,73,115
173,purple,84,62,109
220,light green,149,187,116
232,pale mauve,163,173,216
259,Navy blue,37,43,100
270,pale red,157,69,70
287,pale magenta,119,82,138
308,light green,112,163,70
308,light green,112,163,70
404,Salmon,253,143,148
484,pale purple,148,137,228
569,magenta,174,79,212
41,grey,137,118,122
46,topaz,153,181,169
81,brown,74,37,54
81,brown,74,37,54
92,olive green,49,106,97
208,mauve,166,105,121
211,peach,226,158,146
234,violet,190,166,207
241,Lemon,244,231,139
255,brown,98,16,28
277,olive-green,79,106,0
374,purple,78,58,135
445,TURQUOISE,90,255,189
474,Peach,238,109,88
504,Purple,103,38,147
518,mauve,177,86,182
592,bright pink,222,0,197
59,white,226,229,239
106,puce,169,146,100
137,bluewhite,193,201,228
227,sky blue,98,188,201
299,TAN,204,132,75
344,green,124,222,155
353,light blue,81,218,249
371,red,137,33,16
388,Orange,183,102,25
406,pink,255,144,124
465,mauve,131,71,156
477,tan,221,124,21
528,pink,255,131,206
560,purple,91,32,175
572,mauve pink,217,44,165
15,black,22,31,20
39,grey blue,119,122,136
89,green,79,104,64
273,brown,151,76,38
277,Green,79,106,0
285,bluish,99,88,148
298,brick,209,129,87
304,Light olive green,166,150,30
304,olive green,166,150,30
310,light green,69,167,109
339,yellow,212,206,86
349,Turquoise,76,223,207
477,orange,221,124,21
543,magenta,187,0,118
554,fuchsia,226,100,203
2,dark grey,28,28,28
6,medium-grey,122,122,122
12,vine,45,21,25
63,english red,78,37,38
63,sienna,78,37,38
115,Light bluegrey,114,155,172
133,pale green,151,213,209
212,light orange,225,160,128
222,light green,113,191,153
236,Pale rose,212,160,187
258,cobalt-blue,0,49,103
315,turquoise,0,168,158
323,light cobalt,112,150,204
463,light purple,101,82,172
481,Light blue,0,156,234
508,magenta,217,64,107
569,magenta,174,79,212
63,red brown,78,37,38
74,BLUEGREEN,0,55,66
89,Mist green,79,104,64
89,tree-green,79,104,64
105,brown beige,178,142,109
134,light sky blue,153,212,218
278,Juice green,57,109,20
299,LIGHT-ORANGE,204,132,75
345,turquoise,108,223,171
381,Purple,135,26,77
418,spring green,129,193,70
511,orange red,219,68,53
551,light purple,178,120,244
39,GREY  BLUE,119,122,136
66,brown maroon,65,46,7
66,dark-brown,65,46,7
138,white,206,197,225
175,purple,97,57,100
207,pink  grey,163,105,127
278,green,57,109,20
327,lilac,170,135,191
329,pink,189,130,175
361,pale pink,254,180,218
434,Pink,236,147,196
457,peach,178,45,74
462,bluepurple,72,90,177
472,salmon,237,106,119
479,bright green,90,168,0
514,sea blue,90,115,218
543,fuchsia,187,0,118
546,salmon,255,81,111
555,Bright pink,238,93,185
8,Light bluegrey,175,175,175
12,intense black,45,21,25
17,black,10,31,33
17,black,10,31,33
23,dark-grey,87,68,55
36,DARK EAU DE NIL,104,128,118
45,pale mint green,165,180,154
103,pink beige,183,138,130
112,blueturquoise,100,160,147
219,pale leaf green,164,184,104
284,mid blue,82,93,151
299,orange biscuit,204,132,75
327,light violet,170,135,191
395,violet,124,112,186
403,pink,251,143,159
469,rose pink,168,50,111
484,Bright violet,148,137,228
540,magenta,157,45,164
14,black,33,28,8
14,VERY DARK GREEN,33,28,8
85,Clay,125,89,58
99,plum,114,88,116
119,taupee,165,141,165
204,grape,139,112,154
217,light khaki,189,177,93
250,duck egg blue,136,248,241
343,pale green,146,220,136
358,pale violet,222,188,249
441,lime green,212,243,87
481,Peacock-blue,0,156,234
494,yellow,236,200,0
504,purple,103,38,147
526,violet,234,140,237
553,Pink,213,107,217
26,blue,57,76,69
35,green,114,126,106
58,blue,213,232,239
59,blue,226,229,239
67,green,57,49,2
75,blue,5,53,72
87,green,106,97,47
102,pink,181,138,139
113,turquoise,98,159,158
130,green,165,213,177
311,green,50,168,123
359,pink,238,184,237
422,turquoise,0,199,152
445,turquoise,90,255,189
553,pink,213,107,217
580,purple,155,27,193
78,dark blue,57,43,72
101,Purple,127,85,96
114,blue,103,157,166
114,Blue,103,157,166
124,pink,238,192,169
136,sky blue,179,205,228
211,pink,226,158,146
266,purple,90,19,65
301,tan,191,139,54
302,tan,183,143,44
364,violet,40,7,78
418,GREEN,129,193,70
490,pink,226,110,158
582,pink,207,100,254
45,very light grey,165,180,154
49,light grey,172,174,186
141,Pale pink,231,192,199
193,light green,53,137,110
253,Purple,97,14,46
314,light blue,0,168,147
350,light blue,70,223,218
364,dark purple,40,7,78
398,pale purple,162,100,165
429,Light light grey,172,166,245
449,light blue,0,255,235
449,light blue,0,255,235
527,pink,247,136,222
552,pale purple,194,115,233
585,pink,255,63,196
29,bluetinted-grey,69,71,88
62,Purple-brown,76,37,46
145,redy-brown,64,4,3
161,Green brown,89,70,0
191,muted turquoise,69,136,95
234,light purple,190,166,207
234,violet,190,166,207
344,light green,124,222,155
381,dark pink,135,26,77
440,yellow,227,239,79
454,Purple,90,0,97
476,orange,229,118,46
491,pink,230,108,145
501,dark blue,31,0,101
14,brown,33,28,8
22,brown,91,66,63
47,bluegrey,151,181,179
59,white,226,229,239
94,blue,48,105,116
109,green,131,157,111
187,green,136,123,41
228,ciel,104,187,207
344,green,124,222,155
456,PINK,176,45,86
484,purple,148,137,228
576,blue,47,0,160
188,khaki,120,128,48
276,brown,133,87,0
314,turquoise,0,168,147
325,mauve,148,142,200
335,Cream,248,193,104
349,aqua,76,223,207
425,Azure,54,187,244
462,pale-blue,72,90,177
476,orange,229,118,46
485,light magenta,168,131,220
498,vivid-green,55,230,134
559,Blue,51,48,186
57,very pale cyan,203,236,233
59,white,226,229,239
152,dark-burgundy,56,7,45
184,tan,162,112,62
195,greenish-cyan,35,136,130
292,dull burgundy,152,69,97
328,mauve,181,132,183
335,tan,248,193,104
378,deep reddish purple,118,39,110
378,reddish purple,118,39,110
416,chartreuse,171,184,14
439,Yellow,241,235,75
547,orangish red,255,84,91
550,Purple,149,129,255
596,bright magenta,246,53,254
8,grey,175,175,175
104,skin,182,139,119
124,pale orange,238,192,169
128,tan,201,206,147
259,blue,37,43,100
297,orange,211,126,98
307,olive,132,159,50
332,pinkish,205,125,145
345,GREEN,108,223,171
379,burgundy,125,33,99
409,orange,242,154,79
430,purple,189,161,237
442,Lime,181,249,111
446,green,73,255,200
456,maroon,176,45,86
457,orangey red,178,45,74
458,terracotta,178,47,57
491,pink,230,108,145
514,blue,90,115,218
23,brown,87,68,55
45,green,165,180,154
57,Sky blue,203,236,233
66,dark brown,65,46,7
119,lavender,165,141,165
124,Cream,238,192,169
232,powder blue,163,173,216
252,maroon,95,16,53
377,purple,111,43,117
378,purple,118,39,110
385,terracotta,197,89,74
471,peach,234,107,132
471,pink,234,107,132
493,yellow,250,194,14
517,purple,162,93,193
538,violet,129,63,183
595,purple,149,3,220
53,OFF WHITE,246,226,205
82,pastel red brown,130,85,88
125,beige,232,195,159
128,dusty pastel lime green,201,206,147
132,pastel baby bluey green,152,214,198
170,Pastel navy,24,75,114
186,greeny yellowy pastel,143,121,43
360,pastel-pink,246,182,228
399,pastel purply pink,171,96,156
419,bright pastel lime green,104,196,96
433,darker pastel pink,227,149,208
450,purply blue,36,36,122
487,pastel pinky purple,197,121,200
491,bright pinky peach,230,108,145
522,bright pink,213,65,122
561,bright pinky purple,112,7,165
561,bright purple pink,112,7,165
566,pastel blue,77,109,247
16,black,16,31,26
54,off white,235,230,196
107,bleek,159,150,96
130,light greenish blue,165,213,177
183,fur,166,110,70
255,MAROON,98,16,28
263,dark purple,77,28,82
295,just red,211,124,120
402,soft fuchsia,191,88,121
418,grass,129,193,70
476,citrus,229,118,46
480,soft,47,171,52
528,bright warm,255,131,206
539,PURPLE,144,55,175
553,soft warm,213,107,217
558,fluorescent green,49,233,55
560,magician,91,32,175
562,fluorescent fuchsia,239,2,105
12,brown,45,21,25
15,GREEN,22,31,20
30,grey,82,67,83
120,grey,172,139,156
175,purple,97,57,100
210,pink,225,158,153
262,purple,72,31,86
286,PURPLE,111,85,143
294,pink,210,124,128
310,green,69,167,109
317,blue,0,166,177
352,blue,70,220,237
352,blue,70,220,237
407,orange,253,146,108
433,pink,227,149,208
557,pink,255,83,147
578,purple,112,60,216
18,charcoal,12,30,40
58,sky blue,213,232,239
62,heather purple,76,37,46
71,hunter green,13,56,44
107,light ochre,159,150,96
160,sienna,95,67,0
183,tan,166,110,70
217,dull yellow,189,177,93
238,peach,220,158,172
258,INDIGO,0,49,103
372,navy,0,73,141
416,lime,171,184,14
471,rose,234,107,132
507,dark fuchsia,133,0,124
507,fuchsia,133,0,124
517,fuchsia,162,93,193
23,cool brown,87,68,55
49,grey,172,174,186
49,grey,172,174,186
126,beige,223,199,149
134,sky blue,153,212,218
147,royal blue,22,23,65
159,orange brown,105,62,17
298,burnt sienna,209,129,87
313,bluegreen,15,168,139
321,blue,71,157,201
323,PALE BLUE,112,150,204
472,salmon pink,237,106,119
106,tanbrown mixed with white,169,146,100
148,deep purple,41,16,58
223,turquoise bluegreen,108,191,160
240,white mixed with hansa yellow,250,229,141
257,burnt sienna,96,23,0
283,cobalt bluemixed with white,55,98,152
291,pink madder,148,70,106
396,deep purple mixed with white,139,108,181
419,cadmium green light,104,196,96
478,cadmium-yellowdeep,211,130,0
486,cobalt violetmixed with white,181,126,212
491,pink luminescent deeper tint,230,108,145
501,violetpurple,31,0,101
